parent_article,cycle_archetype,line_no,component,item_type,sfg_code,bom_qty,fg_qty,godown,consumed_at_stage
Carnival Crunchy Caramel Trail Mix 250g,B: Transform->Pack (in-line),17,PM24-Pet Jar 250 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Crunchy Caramel Trail Mix 250g,B: Transform->Pack (in-line),18,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.03,1,Factory,Final FG (packing)
Carnival Date Spread 330gm,,1,Al Barakah Date Spread 330gx12,fg,,1,1,Factory,Final FG (Sorting+Packing)
Carnival Deluxe Seeded Black Raisin 250gm,D: Pack-only,1,Afghan Black Raisins Seeded 1*2,rm,,0.25,1,Factory,Final FG (Sorting+Packing)
Carnival Deluxe Seeded Black Raisin 250gm,D: Pack-only,2,PM24-Carnival Rose Gold Standee Zipper Pouch-135 x 185 mm 150 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Deluxe Seeded Black Raisin 250gm,D: Pack-only,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.025,1,PM Store,Final FG (packing)
Carnival Dried Blueberry 250g,D: Pack-only,1,Dried Blueberry,rm,,0.26,1,Factory,Final FG (Sorting+Packing)
Carnival Dried Blueberry 250g,D: Pack-only,2,PM24-Carnival Blueberry Set 250 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Dried Blueberry 250g,D: Pack-only,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.025,1,Factory,Final FG (packing)
Carnival Dried Blueberry 250g - Tub,D: Pack-only,1,Dried Blueberry,rm,,0.26,1,Factory,Final FG (Sorting+Packing)
Carnival Dried Blueberry 250g - Tub,D: Pack-only,2,PM24-3 Ply Carton CF21 Walnut Carton (445X310X305MM)-Unprinted,pm,,0.067,1,PM Store,Final FG (packing)
Carnival Dried Blueberry 250g - Tub,D: Pack-only,3,PM24-600Ml Tub With Container Lid And Handle 250 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Dried Cranberry Whole 100g (PP),D: Pack-only,1,Dried Cranberry Whole,rm,,0.1,1,Factory,Final FG (Sorting+Packing)
Carnival Dried Cranberry Whole 250g - Tub,D: Pack-only,1,Dried Cranberry Whole,rm,,0.25,1,Factory,Final FG (Sorting+Packing)
Carnival Dried Cranberry Whole 250g - Tub,D: Pack-only,2,PM24-3 Ply Carton CF21 Walnut Carton (445X310X305MM)-Unprinted,pm,,0.067,1,PM Store,Final FG (packing)
Carnival Dried Cranberry Whole 250g - Tub,D: Pack-only,3,PM24-600Ml Tub With Container Lid And Handle 250 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Festive Almonds (27-28 count) 100gm,D: Pack-only,1,American Almonds Running [28-30 Count],rm,,0.1,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Almonds (27-28 count) 100gm,D: Pack-only,2,PM24-Carnival Silver Classic Pouch  100 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Festive Almonds (27-28 count) 100gm,D: Pack-only,3,American Almonds Running 25-27 count,rm,,0.1,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Almonds (27-28 count) 100gm,D: Pack-only,4,PM24-Pet 100 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Festive Almonds (27-28 count) 125gm,D: Pack-only,1,American Almonds Running 25-27 count,rm,,0.125,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Almonds (27-28 count) 125gm,D: Pack-only,2,PM24-Carnival Orange Pouch Standee Zipper Pouch-135 x 185 mm 150 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Festive Almonds (27-28 count) 125gm,D: Pack-only,3,American Almonds Running 25-27 count,rm,,0.125,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Almonds (27-28 count) 125gm,D: Pack-only,4,PM24-Pet 100 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Festive Almonds (27-28 count) 150gm,D: Pack-only,1,American Almonds Running [28-30 Count],rm,,0.15,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Almonds (27-28 count) 150gm,D: Pack-only,2,PM24-Carnival Delux Blue Pouch 250 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Festive Almonds (27-28 count) 200gm,D: Pack-only,1,American Almonds Running [28-30 Count],rm,,0.2,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Almonds (27-28 count) 200gm,D: Pack-only,2,American Almonds Running 25-27 count,rm,,0.2,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Almonds (27-28 count) 200gm,D: Pack-only,3,PM24-Pet Jar 250 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Festive Black Raisin Seedless 150gm,B: Transform->Pack (in-line),1,Afghan Black Raisins Seedless 1*2,rm,,0.15,1,Factory,Create WIP
Carnival Festive Black Raisin Seedless 150gm,B: Transform->Pack (in-line),2,PM24-Carnival Orange Pouch Standee Zipper Pouch-135 x 185 mm 150 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Festive California Pista (21-26) 100gm,B: Transform->Pack (in-line),1,California Pista Inshell,rm,,0.1,1,Factory,Create WIP
Carnival Festive California Pista (21-26) 100gm,B: Transform->Pack (in-line),2,PM24-Carnival Silver Classic Pouch  100 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Festive California Pista (21-26) 100gm,B: Transform->Pack (in-line),3,California Pista Inshell,rm,,0.1,1,Factory,Create WIP
Carnival Festive California Pista (21-26) 100gm,B: Transform->Pack (in-line),4,PM24-Pet 100 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Festive California Pista (21-26) 125gm,D: Pack-only,1,California Pista Inshell Roasted and Salted,fg,,0.13,1,Factory,Final FG (Sorting+Packing)
Carnival Festive California Pista (21-26) 125gm,D: Pack-only,2,PM24-Carnival Classic  Printed Laminated  Silver Pouch-80 x 200mm 250 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Festive California Pista (21-26) 125gm,D: Pack-only,3,California Pista Inshell Roasted and Salted,fg,,0.125,1,Factory,Final FG (Sorting+Packing)
Carnival Festive California Pista (21-26) 125gm,D: Pack-only,4,PM24-Carnival Orange Pouch Standee Zipper Pouch-135 x 185 mm 150 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Festive California Pista (21-26) 150gm,D: Pack-only,1,California Pista Inshell Roasted and Salted,fg,,0.15,1,Factory,Final FG (Sorting+Packing)
Carnival Festive California Pista (21-26) 150gm,D: Pack-only,2,California Pista Inshell Roasted and Salted,fg,,0.15,1,Factory,Final FG (Sorting+Packing)
Carnival Festive California Pista (21-26) 200gm,D: Pack-only,1,California Pista Inshell Roasted and Salted,fg,,0.2,1,Factory,Final FG (Sorting+Packing)
Carnival Festive California Pista (21-26) 200gm,D: Pack-only,2,California Pista Inshell Roasted and Salted,fg,,0.2,1,Factory,Final FG (Sorting+Packing)
Carnival Festive California Pista (21-26) 200gm,D: Pack-only,3,PM24-Pet Jar 250 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Festive California Pista (21-26) 80gm,B: Transform->Pack (in-line),1,California Pista Inshell,rm,,0.08,1,Factory,Create WIP
Carnival Festive California Pista (21-26) 80gm,B: Transform->Pack (in-line),2,PM24-Carnival Silver Classic Pouch  100 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Festive California Pista (21-26) 80gm,B: Transform->Pack (in-line),3,California Pista Inshell,rm,,0.08,1,Factory,Create WIP
Carnival Festive California Pista (21-26) 80gm,B: Transform->Pack (in-line),4,PM24-Pet 100 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Festive Cashew (320) 100gm,D: Pack-only,1,Cashew 320,rm,,0.1,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Cashew (320) 100gm,D: Pack-only,2,PM24-Pet 100 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Festive Cashew (320) 100gm,D: Pack-only,3,Cashew 320,rm,,0.1,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Cashew (320) 100gm,D: Pack-only,4,PM24-Carnival Silver Classic Pouch  100 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Festive Cashew (320) 100gm,D: Pack-only,5,Cashew 320,rm,,0.1,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Cashew (320) 100gm,D: Pack-only,6,PM24-Carnival Green Pouch Standee Zipper Pouch-135 x 185 mm 150 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Festive Cashew (320) 125gm,D: Pack-only,1,Cashew 320,rm,,0.125,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Cashew (320) 125gm,D: Pack-only,2,PM24-Pet 100 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Festive Cashew (320) 125gm,D: Pack-only,3,Cashew 320,rm,,0.13,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Cashew (320) 125gm,D: Pack-only,4,PM24-Carnival Classic  Printed Laminated  Silver Pouch-80 x 200mm 250 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Festive Cashew (320) 125gm,D: Pack-only,5,Cashew 320,rm,,0.125,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Cashew (320) 150gm,D: Pack-only,1,Cashew 320,rm,,0.15,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Cashew (320) 150gm,D: Pack-only,2,PM24-Carnival Classic  Printed Laminated  Silver Pouch-80 x 200mm 250 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Festive Cashew (320) 200gm,D: Pack-only,1,Cashew 320,rm,,0.2,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Cashew (320) 200gm,D: Pack-only,2,Cashew 320,rm,,0.2,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Cashew (320) 200gm,D: Pack-only,3,PM24-Pet Jar 250 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Festive Cashew (320) 80gm,D: Pack-only,1,Cashew 320,rm,,0.08,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Cashew (320) 80gm,D: Pack-only,2,PM24-Carnival Silver Classic Pouch  100 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Festive Chatpata Cranberry 100gm,D: Pack-only,1,Dried Cranberry Sliced,rm,,0.1,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Chatpata Cranberry 100gm,D: Pack-only,2,PM24-Carnival Silver Classic Pouch  100 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Festive Chatpata Cranberry 100gm,D: Pack-only,3,Dried Cranberry Sliced,rm,,0.1,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Chatpata Cranberry 100gm,D: Pack-only,4,PM24-Pet 100 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Festive Chatpata Cranberry 120g,D: Pack-only,1,Dried Cranberry Sliced,rm,,0.128,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Chatpata Cranberry 120g,D: Pack-only,2,Chatpata Seasoning,rm,,0.004,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Chatpata Cranberry 120g,D: Pack-only,3,PM24-Carnival Silver Classic Pouch  100 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Festive Chatpata Cranberry 250gm,D: Pack-only,1,Dried Cranberry Sliced,rm,,0.25,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Chatpata Cranberry 250gm,D: Pack-only,2,Chatpata Seasoning,rm,,0.015,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Chatpata Cranberry 250gm,D: Pack-only,3,PM24-Pet Jar 250 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Festive Chatpata Cranberry 80gm,B: Transform->Pack (in-line),1,Cranberry Slice,rm,,0.08,1,Factory,Create WIP
Carnival Festive Chatpata Cranberry 80gm,B: Transform->Pack (in-line),2,PM24-Carnival Silver Classic Pouch  100 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Festive Crunchy Caramel Trail Mix 250g,B: Transform->Pack (in-line),1,Orange Slice / Pieces,rm,,0.025,1,Factory,Create WIP
Carnival Festive Crunchy Caramel Trail Mix 250g,B: Transform->Pack (in-line),2,Dried Cranberry Sliced,rm,,0.065,1,Factory,Create WIP
Carnival Festive Crunchy Caramel Trail Mix 250g,B: Transform->Pack (in-line),3,Dark Compound Chips,rm,,0.05,1,Factory,Create WIP
Carnival Festive Crunchy Caramel Trail Mix 250g,B: Transform->Pack (in-line),4,Diced Almond,rm,,0.0625,1,Factory,Create WIP
Carnival Festive Crunchy Caramel Trail Mix 250g,B: Transform->Pack (in-line),5,Pecan Nuts,rm,,0.025,1,Factory,Create WIP
Carnival Festive Crunchy Caramel Trail Mix 250g,B: Transform->Pack (in-line),6,Hazelnut Kernal,rm,,0.025,1,Factory,Create WIP
Carnival Festive Crunchy Caramel Trail Mix 250g,B: Transform->Pack (in-line),7,Caramel Sweet Popcorn Flavour,rm,,0.02,1,Factory,Create WIP
Carnival Festive Crunchy Caramel Trail Mix 250g,B: Transform->Pack (in-line),8,PM24-Pet Jar 250 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Festive Flavoured Cashew (320) 100gm,D: Pack-only,1,Cashew 320,rm,,0.1,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Flavoured Cashew (320) 100gm,D: Pack-only,2,PM24-Carnival Silver Classic Pouch  100 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Festive Flavoured Cashew (320) 80gm,D: Pack-only,1,Cashew 320,rm,,0.08,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Flavoured Cashew (320) 80gm,D: Pack-only,2,PM24-Carnival Silver Classic Pouch  100 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Festive Indian Raisin 100gm,D: Pack-only,1,Indian Green Raisins,rm,,0.1,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Indian Raisin 100gm,D: Pack-only,2,PM24-Carnival Silver Classic Pouch  100 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Festive Indian Raisin 100gm,D: Pack-only,3,Indian Green Raisins,rm,,0.1,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Indian Raisin 100gm,D: Pack-only,4,PM24-Pet 100 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Festive Indian Raisin 150gm,D: Pack-only,1,Indian Green Raisins,rm,,0.15,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Indian Raisin 150gm,D: Pack-only,2,Indian Green Raisins,rm,,0.15,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Indian Raisin 150gm,D: Pack-only,3,PM24-Carnival Orange Pouch Standee Zipper Pouch-135 x 185 mm 150 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Festive Indian Raisin 175gm,D: Pack-only,1,Indian Green Raisins,rm,,0.175,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Indian Raisin 200gm,D: Pack-only,1,Indian Green Raisins,rm,,0.2,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Indian Raisin 200gm,D: Pack-only,2,Indian Green Raisins,rm,,0.2,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Indian Raisin 200gm,D: Pack-only,3,PM24-Pet Jar 250 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Festive Indian Raisin 250gm,D: Pack-only,1,Indian Green Raisins,rm,,0.25,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Indian Raisin 250gm,D: Pack-only,2,PM24-Pet Jar 250 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Festive Nuts & Seeds Mix 120g,B: Transform->Pack (in-line),1,American Almonds Running 25-27 count,rm,,0.0182,1,Factory,Create WIP
Carnival Festive Nuts & Seeds Mix 120g,B: Transform->Pack (in-line),2,Pista Kernel,rm,,0.0062,1,Factory,Create WIP
Carnival Festive Nuts & Seeds Mix 120g,B: Transform->Pack (in-line),3,Sunflower Seeds Roasted,fg,,0.03,1,Factory,Create WIP
Carnival Festive Nuts & Seeds Mix 120g,B: Transform->Pack (in-line),4,Pumpkin Seeds Roasted,fg,,0.03,1,Factory,Create WIP
Carnival Festive Nuts & Seeds Mix 120g,B: Transform->Pack (in-line),5,Dried Cranberry Sliced,rm,,0.0152,1,Factory,Create WIP
Carnival Festive Nuts & Seeds Mix 120g,B: Transform->Pack (in-line),6,Dried Blueberry,rm,,0.003,1,Factory,Create WIP
Carnival Festive Nuts & Seeds Mix 120g,B: Transform->Pack (in-line),7,Afghan Black Raisins Seedless 1*2,rm,,0.018,1,Factory,Create WIP
Carnival Festive Nuts & Seeds Mix 120g,B: Transform->Pack (in-line),8,PM24-Carnival Silver Classic Pouch  100 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Festive Paan Cranberry 125gm,B: Transform->Pack (in-line),1,Cranberry Slice,rm,,0.125,1,Factory,Create WIP
Carnival Festive Paan Cranberry 125gm,B: Transform->Pack (in-line),2,Paan Seasoning AB319,rm,,0.004,1,Factory,Create WIP
Carnival Festive Paan Cranberry 125gm,B: Transform->Pack (in-line),3,PM24-Pet 100 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Festive Paan Raisin 125gm,B: Transform->Pack (in-line),1,Indian Green Raisins,rm,,0.13,1,Factory,Create WIP
Carnival Festive Paan Raisin 125gm,B: Transform->Pack (in-line),2,Paan Seasoning AB319,rm,,0.009,1,Factory,Create WIP
Carnival Festive Paan Raisin 125gm,B: Transform->Pack (in-line),3,PM24-Pet 100 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Festive Salted Almonds (27-28 count) 100gm,B: Transform->Pack (in-line),1,American Almonds Running 25-27 count,rm,,0.1,1,Factory,Create WIP
Carnival Festive Salted Almonds (27-28 count) 100gm,B: Transform->Pack (in-line),2,PM24-Carnival Silver Classic Pouch  100 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Festive Salted Almonds (27-28 count) 100gm,B: Transform->Pack (in-line),3,American Almonds Running 25-27 count,rm,,0.1,1,Factory,Create WIP
Carnival Festive Salted Almonds (27-28 count) 100gm,B: Transform->Pack (in-line),4,Salt,rm,,0.002,1,Factory,Create WIP
Carnival Festive Salted Almonds (27-28 count) 100gm,B: Transform->Pack (in-line),5,PM24-Pet 100 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Festive Salted Almonds (27-28 count) 150gm,B: Transform->Pack (in-line),1,American Almonds Running 25-27 count,rm,,0.15,1,Factory,Create WIP
Carnival Festive Salted Almonds (27-28 count) 150gm,B: Transform->Pack (in-line),2,Refined Fine Powder Iodized Salt Prime,rm,,0.005,1,Factory,Create WIP
Carnival Festive Salted Almonds (27-28 count) 150gm,B: Transform->Pack (in-line),3,PM24-Carnival Orange Pouch Standee Zipper Pouch-135 x 185 mm 150 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Festive Salted Almonds (27-28 Count) 230gm,B: Transform->Pack (in-line),1,American Almonds Running 25-27 count,rm,,0.23,1,Factory,Create WIP
Carnival Festive Salted Almonds (27-28 Count) 230gm,B: Transform->Pack (in-line),2,Refined Fine Powder Iodized Salt Prime,rm,,0.015,1,Factory,Create WIP
Carnival Festive Salted Almonds (27-28 Count) 230gm,B: Transform->Pack (in-line),3,PM24-Pet Jar 250 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Festive Salted Almonds (27-28 count) 80gm,D: Pack-only,1,American Almonds Running 25-27 count,rm,,0.08,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Salted Almonds (27-28 count) 80gm,D: Pack-only,2,PM24-Carnival Silver Classic Pouch  100 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Festive Salted Cashew (320) 150gm,D: Pack-only,1,Cashew 320,rm,,0.15,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Salted Cashew (320) 150gm,D: Pack-only,2,Cashew 320,rm,,0.15,1,Factory,Final FG (Sorting+Packing)
Carnival Festive Salted Cashew (320) 230gm,B: Transform->Pack (in-line),1,Cashew 320,rm,,0.23,1,Factory,Create WIP
Carnival Festive Salted Cashew (320) 230gm,B: Transform->Pack (in-line),2,Refined Fine Powder Iodized Salt Prime,rm,,0.015,1,Factory,Create WIP
Carnival Festive Salted Cashew (320) 230gm,B: Transform->Pack (in-line),3,PM24-Pet Jar 250 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Festive Seedless Black Raisin 200gm,B: Transform->Pack (in-line),1,Afghan Black Raisins Seeded 1*2,rm,,0.2,1,Factory,Create WIP
Carnival FestiveSalted Cashew (320) 100gm,B: Transform->Pack (in-line),1,Cashew 320,rm,,0.1,1,Factory,Create WIP
Carnival FestiveSalted Cashew (320) 100gm,B: Transform->Pack (in-line),2,PM24-Carnival Silver Classic Pouch  100 gm,pm,,1,1,Factory,Final FG (packing)
Carnival FestiveSalted Cashew (320) 100gm,B: Transform->Pack (in-line),3,Cashew 320,rm,,0.1,1,Factory,Create WIP
Carnival FestiveSalted Cashew (320) 100gm,B: Transform->Pack (in-line),4,Salt,rm,,0.002,1,Factory,Create WIP
Carnival FestiveSalted Cashew (320) 100gm,B: Transform->Pack (in-line),5,PM24-Pet 100 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Flax Seeds 100G,B: Transform->Pack (in-line),1,Flax Seeds (Alsi),rm,,0.1,1,Factory,Create WIP
Carnival Flax Seeds 100G,B: Transform->Pack (in-line),2,PM24-Carnival Flax Seeds Roasted 100 Gm 100 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Flax Seeds 100G,B: Transform->Pack (in-line),3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.01,1,Factory,Final FG (packing)
Carnival Ganpati Date Mewa Box 242g,B: Transform->Pack (in-line),1,Date Bites Semi Finished,fg,,0.242,1,Factory,Create WIP
Carnival Ganpati Date Mewa Box 242g,B: Transform->Pack (in-line),2,PM24-Hamper Modak Printed Box,pm,,1,1,PM Store,Final FG (packing)
Carnival Ganpati Date Mewa Box 242g,B: Transform->Pack (in-line),3,PM24-Modak Blister,pm,,1,1,PM Store,Final FG (packing)
Carnival Green Chilli Cashew 100g,D: Pack-only,1,Cashew 320,rm,,0.1,1,Factory,Final FG (Sorting+Packing)
Carnival Green Chilli Cashew 230g,C: Pack of existing SFG,1,Green Chilli Cashew Bulk,sfg,SFG0169,0.23,1,Factory,Final FG (opening RM)
Carnival Green Chilli Cashew 230g,C: Pack of existing SFG,2,PM24-Carnival Green Chilli Cashew Pouch 30 gm Digital,pm,,1,1,PM Store,Final FG (packing)
Carnival Himalayan Salt & Pepper Pistachios 200gm,,1,California Pista Inshell,rm,,0.185,1,Factory,Final FG (Sorting+Packing)
Carnival Himalayan Salt & Pepper Pistachios 200gm,,2,Black Pepper Seasoning,rm,,0.02,1,Factory,Final FG (Sorting+Packing)
Carnival Himalayan Salt & Pepper Pistachios 200gm,,3,Pink Salt.,rm,,0.005,1,Factory,Final FG (Sorting+Packing)
Carnival Himalayan Salt & Pepper Pistachios 200gm,,4,PM24-Carnival Himalayan Salt & Pepper Pistachios Standy Zipper Pouch,pm,,1,1,PM Store,Final FG (packing)
Carnival Himalayan Salt & Pepper Pistachios 25g,B: Transform->Pack (in-line),1,California Pista Inshell,rm,,0.0232,1,Factory,Create WIP
Carnival Himalayan Salt & Pepper Pistachios 25g,B: Transform->Pack (in-line),2,Black Pepper Seasoning,rm,,0.0012,1,Factory,Create WIP
Carnival Himalayan Salt & Pepper Pistachios 25g,B: Transform->Pack (in-line),3,Refined Fine Powder Iodized Salt Prime,rm,,0.0005,1,Factory,Create WIP
Carnival Himalayan Salt & Pepper Pistachios 25g,B: Transform->Pack (in-line),4,PM24-Carnival Himalayan Salt & Pepper Pistachios Pouch Roll,pm,,0.003,1,PM Store,Final FG (packing)
Carnival Honey Roasted Almonds 100G,B: Transform->Pack (in-line),1,Honey Roast Almonds,rm,,0.1,1,Factory,Create WIP
Carnival Indian Green Raisins 200g,D: Pack-only,1,Indian Green Raisins,rm,,0.2,1,Factory,Final FG (Sorting+Packing)
Carnival Indian Green Raisins 200g,D: Pack-only,2,PM24-Carnival Green Raisin 250 Gm-Pouch 250 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Indian Green Raisins 200g,D: Pack-only,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.02,1,Factory,Final FG (packing)
Carnival Indian Kishmish 100g,D: Pack-only,1,Indian Green Raisins,rm,,0.1,1,Factory,Final FG (Sorting+Packing)
Carnival Indian Kishmish 100g,D: Pack-only,2,PM24-Pet 100 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Indian Kishmish 100g,D: Pack-only,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.016,1,PM Store,Final FG (packing)
Carnival Iranian Pistachio 250 Gm,D: Pack-only,1,Pista Irani 999 Inshell,rm,,0.25,1,Factory,Final FG (Sorting+Packing)
Carnival Iranian Pistachio 250 Gm,D: Pack-only,2,PM24-Pet Jar 250 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Iranian Pistachio 250 Gm,D: Pack-only,3,Pista Irani 999 Inshell,rm,,0.25,1,Factory,Final FG (Sorting+Packing)
Carnival Jumbo Salted Cashew with Skin 200g,D: Pack-only,1,Cashew Jumbo with Skin Roasted and Salted,fg,,0.2,1,Factory,Final FG (Sorting+Packing)
Carnival Jumbo Salted Cashew with Skin 200g,D: Pack-only,2,PM24-Carnival Cashew (W320) (Cred) Monocarton 200 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Macadamia 200gm,D: Pack-only,1,Macadamia Commercial Grade Style 1,rm,,0.12,1,Factory,Final FG (Sorting+Packing)
Carnival Macadamia 200gm,D: Pack-only,2,Macadamia Roasted - Size 4,rm,,0.08,1,Factory,Final FG (Sorting+Packing)
Carnival Macadamia 200gm,D: Pack-only,3,PM24-Carnival Roasted Salted Macadamia Monocarton 250 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Macadamia 200gm,D: Pack-only,4,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.02,1,Factory,Final FG (packing)
Carnival Madhur Mahotsav DF Box 4P 400g,D: Pack-only,1,Carnival Festive Cashew (320) 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
Carnival Madhur Mahotsav DF Box 4P 400g,D: Pack-only,2,Carnival Festive Indian Raisin 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
Carnival Madhur Mahotsav DF Box 4P 400g,D: Pack-only,3,Carnival Festive Almonds (27-28 count) 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
Carnival Madhur Mahotsav DF Box 4P 400g,D: Pack-only,4,Carnival Festive California Pista (21-26) 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
Carnival Madhur Mahotsav DF Box 4P 400g,D: Pack-only,5,PM24-HOH Diwali Gift Box Madhur Mahotsav 400gm(4P)Sleeve,pm,,1,1,PM Store,Final FG (packing)
Carnival Madhur Mahotsav DF Box 4P 400g,D: Pack-only,6,PM24-HOH Diwali Gift Box Madhur Mahotsav 400gm(4P) Tray,pm,,1,1,PM Store,Final FG (packing)
Carnival Madhur Mahotsav DF Box 4P 400g,D: Pack-only,7,PM24-HOH Diwali Gift Box Monocarton Madhur Mahotsav 400gm(4P),pm,,4,1,PM Store,Final FG (packing)
Carnival Madhur Mahotsav DF Box 4P 400g,D: Pack-only,8,PM24-5 Ply Carton-All Purpose,pm,,0.0833,1,PM Store,Final FG (packing)
Carnival Magic Moments 4P 600gm,D: Pack-only,1,Roasted & Salted Cashew Bulk,sfg,SFG0262,0.15,1,Factory,Final FG (opening RM)
Carnival Magic Moments 4P 600gm,D: Pack-only,2,Indian Long Green Raisins,rm,,0.175,1,Factory,Final FG (Sorting+Packing)
